Provinsi,Kabupaten/Kota,Nama Bank,Kode Bank
Provinsi Jawa Tengah,Kab. Banyumas,PT Bank Perekonomian Rakyat Dana Pensiun Taspen Jateng,602736
Provinsi Jawa Tengah,Kab. Cilacap,PT Bank Perekonomian Rakyat Gunung Slamet,600614
Provinsi Jawa Tengah,Kab. Cilacap,PT Bank Perekonomian Rakyat Citanduy Artha,600621
Provinsi Jawa Tengah,Kab. Cilacap,PT. BPR Kroya Bangunartha,601463
Provinsi Jawa Tengah,Kab. Cilacap,PT Bank Perekonomian Rakyat Badan Kredit Kecamatan Cilacap (Perseroda),601628
Provinsi Jawa Tengah,Kab. Cilacap,PT Bank Perekonomian Rakyat Artha Rahayu,601728
Provinsi Jawa Tengah,Kab. Cilacap,PT Bank Perekonomian Rakyat Banyu Arthacitra,601878
Provinsi Jawa Tengah,Kab. Cilacap,PT Bank Perekonomian Rakyat Mitra Abadi Sejahtera,602463
Provinsi Jawa Tengah,Kab. Purbalingga,PT Bank Perekonomian Rakyat Artha Perwira (Perseroda),601375
Provinsi Jawa Tengah,Kab. Purbalingga,PT Bank Perekonomian Rakyat Badan Kredit Kecamatan Purbalingga (Perseroda),601627
Provinsi Jawa Tengah,Kab. Purbalingga,PT Bank Perekonomian Rakyat Buana Arthakassiti,602730
Provinsi Jawa Tengah,Kab. Banjarnegara,PT Bank Perekonomian Rakyat Surya Yudhakencana,601374
Provinsi Jawa Tengah,Kab. Banjarnegara,PT Bank Perekonomian Rakyat Badan Kredit Kecamatan Mandiraja (Perseroda),601610
Provinsi Jawa Tengah,Kab. Magelang,PT Bank Perekonomian Rakyat Prima,600067
Provinsi Jawa Tengah,Kab. Magelang,PT. BPR Hidup Arthagraha,600075
Provinsi Jawa Tengah,Kab. Magelang,PT BPR Bank Bapas 69 (Perseroda),600549
Provinsi Jawa Tengah,Kab. Magelang,PT Bank Perekonomian Rakyat Mulyo Lumintu,600563
Provinsi Jawa Tengah,Kab. Magelang,PT Bank Perekonomian Rakyat Artha Mertoyudan,600598
Provinsi Jawa Tengah,Kab. Magelang,PT Bank Perekonomian Rakyat Kembang Parama,600610
Provinsi Jawa Tengah,Kab. Magelang,PT BPR Sejahtera,601115
Provinsi Jawa Tengah,Kab. Magelang,PT Bank Perekonomian Rakyat Danarakyat Sentosa,601417
Provinsi Jawa Tengah,Kab. Magelang,PT Bank Perekonomian Rakyat Artha Sambhara,601451
Provinsi Jawa Tengah,Kab. Magelang,PT Bank Perekonomian Rakyat Badan Kredit Kecamatan Muntilan (Perseroda),601478
Provinsi Jawa Tengah,Kab. Magelang,PT Bank Perekonomian Rakyat Lumbungartha Muntilanindo,601683
Provinsi Jawa Tengah,Kab. Magelang,PT BPR Niji,602587
Provinsi Jawa Tengah,Kab. Temanggung,PT BPR Kedu Arthasetia,600099
Provinsi Jawa Tengah,Kab. Temanggung,PT Bank Perekonomian Rakyat Suryakusuma Kranggan,600263
Provinsi Jawa Tengah,Kab. Temanggung,PT BPR Bank Temanggung (Perseroda),600555
Provinsi Jawa Tengah,Kab. Temanggung,PT. BPR BKK Temanggung (Perseroda),600630
Provinsi Jawa Tengah,Kab. Temanggung,PT. BPR Kusuma Sumbing,600701
Provinsi Jawa Tengah,Kab. Temanggung,PT. BPR Intan Surya,600881
Provinsi Jawa Tengah,Kab. Temanggung,PT BPR Multi Arthanusa,601106
Provinsi Jawa Tengah,Kab. Wonosobo,PT BPR Artha Selomanik Putra,600058
Provinsi Jawa Tengah,Kab. Wonosobo,PT. BPR Surya Yudha,600244
Provinsi Jawa Tengah,Kab. Wonosobo,PT BPR Bank Wonosobo (Perseroda),600557
Provinsi Jawa Tengah,Kab. Wonosobo,PT Bank Perekonomian Rakyat Badan Kredit Kecamatan Wonosobo (Perseroda),600615
Provinsi Jawa Tengah,Kab. Wonosobo,PT. BPR Puspa Kencana,601756
Provinsi Jawa Tengah,Kab. Purworejo,Perumda BPR Bank Purworejo,600551
Provinsi Jawa Tengah,Kab. Purworejo,PT Bank Perekonomian Rakyat BKK Purworejo (Perseroda),600649
Provinsi Jawa Tengah,Kab. Kebumen,PT Bank Perekonomian Rakyat Araya Arta,600537
Provinsi Jawa Tengah,Kab. Kebumen,PT BPR Bank Kebumen (Perseroda),600543
Provinsi Jawa Tengah,Kab. Kebumen,PT. BPR BKK Kebumen (Perseroda),600706
Provinsi Jawa Tengah,Kab. Kebumen,PT Bank Perekonomian Rakyat Dana Mitra Sejahtera,601399
Provinsi Jawa Tengah,Kab. Kebumen,PT Bank Perekonomian Rakyat SAS,601470
Provinsi Jawa Tengah,Kab. Klaten,PT Bank Perekonomian Rakyat Bhakti Riyadi,600057
Provinsi Jawa Tengah,Kab. Klaten,PT Bank Perekonomian Rakyat Klaten Sejahtera,600078
Provinsi Jawa Tengah,Kab. Klaten,PT Bank Perekonomian Rakyat Ukabima BMMS,600272
Provinsi Jawa Tengah,Kab. Klaten,PT Bank Perekonomian Rakyat Badan Kredit Kecamatan Tulung (Perseroda),600550
Provinsi Jawa Tengah,Kab. Klaten,PT Bank Perekonomian Rakyat Bank Klaten (Perseroda) Kabupaten Klaten,600670
Provinsi Jawa Tengah,Kab. Klaten,PT Bank Perekonomian Rakyat Bank Pasar Patma,600677
Provinsi Jawa Tengah,Kab. Klaten,PT Bank Perekonomian Rakyat Ceper Permata Artha,600689
Provinsi Jawa Tengah,Kab. Klaten,PT Bank Perekonomian Rakyat Restu Artha Abadi,600693
Provinsi Jawa Tengah,Kab. Klaten,PT Bank Perekonomian Rakyat Danamas Pratama,600697
Provinsi Jawa Tengah,Kab. Klaten,PT. BPR Restu Klaten Makmur,600847
Provinsi Jawa Tengah,Kab. Klaten,PT Bank Perekonomian Rakyat Shinta Bhakti Wedi,601462
Provinsi Jawa Tengah,Kab. Klaten,PT. BPR Gunung Mas,601474
Provinsi Jawa Tengah,Kab. Klaten,PT Bank Perekonomian Rakyat Wuni Artha Utama,602546
Provinsi Jawa Tengah,Kab. Klaten,PT Bank Perekonomian Rakyat Hardi Mas Mandiri,602593
Provinsi Jawa Tengah,Kab. Boyolali,PT Bank Perekonomian Rakyat Bank Guna Daya,600660
Provinsi Jawa Tengah,Kab. Boyolali,PT Bank Perekonomian Rakyat Bank Boyolali (Perseroda),600666
Provinsi Jawa Tengah,Kab. Boyolali,PT Bank Perekonomian Rakyat Nusamba Ampel,600685
Provinsi Jawa Tengah,Kab. Boyolali,PT Bank Perekonomian Rakyat Arthayasa Ageng,601412
Provinsi Jawa Tengah,Kab. Boyolali,PT Bank Perekonomian Rakyat Mitra Pandanaran Mandiri,601418
Provinsi Jawa Tengah,Kab. Boyolali,PT Bank Perekonomian Rakyat Badan Kredit Kecamatan Boyolali (Perseroda),601595
Provinsi Jawa Tengah,Kab. Sragen,PT Bank Perekonomian Rakyat Artha Moro,600122
Provinsi Jawa Tengah,Kab. Sragen,PT Bank Perekonomian Rakyat Sumber Arta,600853
Provinsi Jawa Tengah,Kab. Sragen,PT Bank Perekonomian Rakyat Arthareksa Sejahtera,601430
Provinsi Jawa Tengah,Kab. Sragen,PT Bank Perekonomian Rakyat Bank Djoko Tingkir (Perseroda) Kabupaten Sragen,601440
Provinsi Jawa Tengah,Kab. Sragen,PT Bank Perekonomian Rakyat Mitra Banaran Mandiri,601456
Provinsi Jawa Tengah,Kab. Sragen,PT Bank Perekonomian Rakyat Badan Kredit Kecamatan Karangmalang (Perseroda),601578
Provinsi Jawa Tengah,Kab. Sukoharjo,PT Bank Perekonomian Rakyat Jadimanunggal Abadi,600110
Provinsi Jawa Tengah,Kab. Sukoharjo,PT Bank Perekonomian Rakyat Artha Sari Sentosa,600220
Provinsi Jawa Tengah,Kab. Sukoharjo,PT Bank Perekonomian Rakyat BKK Grogol (Perseroda),600586
Provinsi Jawa Tengah,Kab. Sukoharjo,PT Bank Perekonomian Rakyat Bank Sukoharjo (Perseroda),600672
Provinsi Jawa Tengah,Kab. Sukoharjo,PT Bank Perekonomian Rakyat Solobaru Permai,600681
Provinsi Jawa Tengah,Kab. Sukoharjo,PT Bank Perekonomian Rakyat Kartasura Makmur,601372
Provinsi Jawa Tengah,Kab. Sukoharjo,PT Bank Perekonomian Rakyat Kartadhani Mulya,601390
Provinsi Jawa Tengah,Kab. Sukoharjo,PT Bank Perekonomian Rakyat Kartasura Saribumi,601404
Provinsi Jawa Tengah,Kab. Sukoharjo,PT Bank Perekonomian Rakyat Grogol Joyo,601424
Provinsi Jawa Tengah,Kab. Sukoharjo,PT Bank Perekonomian Rakyat Wira Ardana Sejahtera,601464
Provinsi Jawa Tengah,Kab. Sukoharjo,PT Bank Perekonomian Rakyat Sinar Guna Wijaya,601544
Provinsi Jawa Tengah,Kab. Sukoharjo,PT Bank Perekonomian Rakyat Sami Makmur,601545
Provinsi Jawa Tengah,Kab. Sukoharjo,PT Bank Perekonomian Rakyat Ihuthan Ganda,601686
Provinsi Jawa Tengah,Kab. Sukoharjo,PT Bank Perekonomian Rakyat Bekonang Sukoharjo,601777
Provinsi Jawa Tengah,Kab. Sukoharjo,PT. BPR Tugu Kencana,601880
Provinsi Jawa Tengah,Kab. Sukoharjo,PT Bank Perekonomian Rakyat Surya Utama,602615
Provinsi Jawa Tengah,Kab. Karanganyar,PT Bank Perekonomian Rakyat Bank Karanganyar (Perseroda),600318
Provinsi Jawa Tengah,Kab. Karanganyar,PT Bank Perekonomian Rakyat Bank Pura Artha,600400
Provinsi Jawa Tengah,Kab. Karanganyar,PT Bank Perekonomian Rakyat Bina Sejahtera Insani,600658
Provinsi Jawa Tengah,Kab. Karanganyar,PT Bank Perekonomian Rakyat Bank Daerah Karanganyar (Perseroda),600668
Provinsi Jawa Tengah,Kab. Karanganyar,PT Bank Perekonomian Rakyat Cita Dewi,600691
Provinsi Jawa Tengah,Kab. Karanganyar,PT Bank Perekonomian Rakyat Lawu Artha,601389
Provinsi Jawa Tengah,Kab. Karanganyar,PT BPR Restu Tawangmangu Jaya,601416
Provinsi Jawa Tengah,Kab. Karanganyar,PT Bank Perekonomian Rakyat Antar Rumeksa Arta,601439
Provinsi Jawa Tengah,Kab. Karanganyar,PT Bank Perekonomian Rakyat Trihasta Prasodjo,601450
Provinsi Jawa Tengah,Kab. Karanganyar,PT Bank Perekonomian Rakyat Kandimadu Arta,601461
Provinsi Jawa Tengah,Kab. Karanganyar,PT Bank Perekonomian Rakyat Badan Kredit Kecamatan Tasikmadu (Perseroda) Kabupaten Karanganyar,601591
Provinsi Jawa Tengah,Kab. Karanganyar,PT Bank Perekonomian Rakyat Arta Mas Surakarta,602009
Provinsi Jawa Tengah,Kab. Wonogiri,PT Bank Perekonomian Rakyat Gajah Mungkur,600095
Provinsi Jawa Tengah,Kab. Wonogiri,PT Bank Perekonomian Rakyat Bank Wonogiri (Perseroda),601425
Provinsi Jawa Tengah,Kab. Wonogiri,PT Bank Perekonomian Rakyat Badan Kredit Kecamatan Wonogiri (Perseroda),601576
Provinsi Jawa Tengah,Kab. Batang,PT Bank Perekonomian Rakyat Pemberdayaan Ekonomi Rakyat Batang,600827
Provinsi Jawa Tengah,Kab. Batang,PT Bank Perekonomian Rakyat BKK Batang (Perseroda),601562
Provinsi Jawa Tengah,Kota Semarang,PT BPR Artha Nusantara Abadi,600216
Provinsi Jawa Tengah,Kota Semarang,PT BPR Gunung Kawi,600533
Provinsi Jawa Tengah,Kota Semarang,PT. BPR Gunung Kinibalu,600535
Provinsi Jawa Tengah,Kota Semarang,PT BPR Gunung Merbabu,600539
Provinsi Jawa Tengah,Kota Semarang,Perumda BPR Bank Pasar Kota Semarang,600559
Provinsi Jawa Tengah,Kota Semarang,PT. BPR Weleri Makmur,600567
Provinsi Jawa Tengah,Kota Semarang,PT. BPR Agung Sejahtera,600593
Provinsi Jawa Tengah,Kota Semarang,PT BPR Rudo Indobank,600595
Provinsi Jawa Tengah,Kota Semarang,PT Bank Perekonomian Rakyat Gunung Rizki Pusaka Utama,600605
Provinsi Jawa Tengah,Kota Semarang,PT BPR BKK Kota Semarang (Perseroda),600637
Provinsi Jawa Tengah,Kota Semarang,PT Bank Perekonomian Rakyat Dana Aman Tiara Abadi,600664
Provinsi Jawa Tengah,Kota Semarang,PT. BPR Kedung Arto,600712
Provinsi Jawa Tengah,Kota Semarang,PT Bank Perekonomian Rakyat Restu Artha Makmur,600783
Provinsi Jawa Tengah,Kota Semarang,PT Bank Perekonomian Rakyat Mandiri Artha Abadi,600787
Provinsi Jawa Tengah,Kota Semarang,PT BPR Modern Express Jateng,600814
Provinsi Jawa Tengah,Kota Semarang,PT. BPR Adil Jaya Artha,600819
Provinsi Jawa Tengah,Kota Semarang,PT. BPR Artha Mukti Santosa,600854
Provinsi Jawa Tengah,Kota Semarang,PT Bank Perekonomian Rakyat Artha Tanah Mas,600857
Provinsi Jawa Tengah,Kota Semarang,PT Bank Perekonomian Rakyat Estetika Artha Guna,600895
Provinsi Jawa Tengah,Kota Semarang,PT BPR Sinar Mitra Sejahtera,601320
Provinsi Jawa Tengah,Kota Semarang,PT Bank Perekonomian Rakyat Setia Karib Abadi,601368
Provinsi Jawa Tengah,Kota Semarang,PT. BPR Jateng,601397
Provinsi Jawa Tengah,Kota Semarang,PT Bank Perekonomian Rakyat Karti Centra Artha,601423
Provinsi Jawa Tengah,Kota Semarang,PT BPR Pollux,601445
Provinsi Jawa Tengah,Kota Semarang,PD BPR BKK SEMARANG BARAT,602535
Provinsi Jawa Tengah,Kota Semarang,PT Bank Perekonomian Rakyat Arto Moro,602585
Provinsi Jawa Tengah,Kota Semarang,PT. BPR Muncul Artha Sejahtera,602713
Provinsi Jawa Tengah,Kota Semarang,PT BPR Guru Jateng,602726
Provinsi Jawa Tengah,Kota Semarang,PT BPR BKK Jawa Tengah (Perseroda),602759
Provinsi Jawa Tengah,Kota Salatiga,Perumda BPR Bank Salatiga,600143
Provinsi Jawa Tengah,Kota Salatiga,PT BPR Kridaharta,600561
