Provinsi,Kabupaten/Kota,Nama Bank,Kode Bank
Provinsi NAD,Kota Lhokseumawe,PT Bank Perekonomian Rakyat Syariah Rahmah Hijrah Agung,620049
Provinsi NAD,Kota Langsa,PT Bank Perekonomian Rakyat Syariah Adeco,620141
Provinsi NAD,Kota Langsa,PT Bank Perekonomian Rakyat Syariah Serambi Mekah,620152
Provinsi Sumatera Utara,Kab. Deli Serdang,PT Bank Perekonomian Rakyat Syariah Puduarta Insani,620058
Provinsi Sumatera Utara,Kab. Deli Serdang,PT Bank Perekonomian Rakyat Syariah Amanah Insan Cita,620145
Provinsi Sumatera Utara,Kab. Simalungun,PT Bank Perekonomian Rakyat Syariah Amanah Bangsa,620032
Provinsi Sumatera Utara,Kab. Simalungun,PT. BPRS Al-Yaqin,620092
Provinsi Sumatera Utara,Kab. Mandailing Natal,PT Bank Perekonomian Rakyat Syariah Sindanglaya Kotanopan,620111
Provinsi Sumatera Utara,Kota Medan,PT Bank Perekonomian Rakyat Syariah Al Washliyah,620036
Provinsi Sumatera Utara,Kota Medan,PT Bank Perekonomian Rakyat Syariah Gebu Prima,620055
Provinsi Sumatera Barat,Kab. Agam,PT Bank Perekonomian Rakyat Syariah Carana Kiat Andalas,620064
Provinsi Sumatera Barat,Kab. Agam,PT Bank Perekonomian Rakyat Syariah Ampek Angkek Candung,620071
Provinsi Sumatera Barat,Kab. Agam,PT BPRS Sungai PuaSyariah,620186
Provinsi Sumatera Barat,Kab. Agam,PT BANK PEREKONOMIAN RAKYAT SYARIAH MASYARAKAT LINTAU BUO,620196
Provinsi Sumatera Barat,Kab. Pasaman,PT Bank Perekonomian Rakyat Syariah Khatulistiwa,620201
Provinsi Sumatera Barat,Kab. Limapuluh Koto,PT BPRS Taeh Baruah,620190
Provinsi Sumatera Barat,Kab. Limapuluh Koto,PT BPRS Guguk Mas Makmur,620194
Provinsi Sumatera Barat,Kab. Tanah Datar,PT BPRS Haji Miskin,620099
Provinsi Sumatera Barat,Kab. Tanah Datar,PT Bank Perekonomian Rakyat Syariah Balerong Bunta,620197
