Nama Bank,Provinsi,Kabupaten/Kota,Jenis,Latitude,Longitude,in_indonesia,in_indonesia_buffered,is_on_land
PT Bank Perekonomian Rakyat Kita,Provinsi Bali,Kab. Badung,Konvensional,-8.6855916,115.1065933,False,True,False
PT BPR DEWI LESTARI INSANDANA,Provinsi Maluku Utara,Kab./Kota Lainnya - Provinsi Maluku Utara,Konvensional,0.7322956,127.3376689,False,True,False
PT BPR PRAMITA MITRA DANA,Provinsi Maluku Utara,Kab./Kota Lainnya - Provinsi Maluku Utara,Konvensional,0.0891784,124.3273837,False,False,False
PT Bank Perekonomian Rakyat Global Nusantara,Provinsi Maluku Utara,Kota Ternate,Konvensional,0.7912242,127.3825185,False,True,False
PT Bank Perekonomian Rakyat Bobato Lestari,Provinsi Maluku Utara,Kota Ternate,Konvensional,0.7388788,127.3351655,False,True,False
PT. BPR Modern Express Maluku Utara,Provinsi Maluku Utara,Kota Ternate,Konvensional,-1.5179761,124.4174734,False,False,False
PT Bank Perekonomian Rakyat Syariah Mandiri Mitra Sukses,Provinsi Jawa Timur,Kab. Gresik,Syariah,-6.5369191,111.953116,False,False,False
PT Bank Perekonomian Rakyat Syariah Harta Insan Karimah Fajar Nitro,Provinsi Sulawesi Selatan,Kota Makassar,Syariah,-5.6617963,107.7793588,False,False,False
PT. BANK PEREKONOMIAN RAKYAT SYARIAH PNM PATUH BERAMAL AMALI,Provinsi Nusa Tenggara Barat,Kota Mataram,Syariah,-6.4705502,115.4932074,False,False,False
PT Bank Perekonomian Rakyat Syariah Bahari Berkesan,Provinsi Maluku Utara,Kota Ternate,Syariah,0.7903467,127.3878576,False,True,False
PT Bank Perekonomian Rakyat Syariah Bobato Lestari,Provinsi Maluku Utara,Kota Tidore Kepulauan,Syariah,0.673036,127.4524747,False,True,False
