Tahun,Bulan,Nama_BPR,Kabupaten_Kota,Provinsi,Kode_Bank,Total_Aset,Piutang_Murabahah,Piutang_Istishna,Piutang_Multijasa,Piutang_Qardh,Piutang_Sewa,Pembiayaan_Mudharabah,Pembiayaan_Musyarakah,Pembiayaan_Lainnya,Salam,Agunan_yang_Diambil_Alih,Tabungan_Wadiah,Tabungan_Mudharabah,Deposito_Mudharabah,Cadangan_Kerugian_Penurunan_Nilai_1,Cadangan_Kerugian_Penurunan_Nilai_2,Liabilitas_Segera,Liabilitas_kepada_BI,Liabilitas_kepada_Bank_Lain,Pembiayaan_Diterima,Liabilitas_Lainnya,Dana_Syirkah_Temporer,Pendapatan_setelah_distribusi_bagi_hasil,Pendapatan_dari_penyaluran_dana,Beban_Operasional,Zakat,Laba_Rugi_Bersih,KPMM,NPF_Neto,NPF_Gross,ROA,BOPO,FDR,Cash_Ratio,NI,Latitude,Longitude
2010,12,PT. BPRS Safir,Kota Bengkulu,Provinsi Bengkulu,620090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8005555705877825,102.2529282154658
2010,12,PT Bank Perekonomian Rakyat Syariah Botani Bina Rahmah,Kab. Bogor,Provinsi Jawa Barat,620061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.546441998522415,106.99684935942706
2010,12,PT Bank Perekonomian Rakyat Syariah Sarana Prima Mandiri,Kab. Pamekasan,Provinsi Jawa Timur,620127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,PT Bank Perekonomian Rakyat Syariah Ampek Angkek Candung,Kab. Agam,Provinsi Sumatera Barat,620071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,PT Bank Perekonomian Rakyat Syariah Sampang Perseroda,Kab. Sampang,Provinsi Jawa Timur,620166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.177646641310815,113.22928610732424
2010,12,PT Bank Perekonomian Rakyat Syariah Unisia Insan Indonesia,Kota Yogyakarta,Provinsi D.I. Yogyakarta,620178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.811119305839534,110.36108720090904
2010,12,PT Bank Perekonomian Rakyat Syariah Gala Mitra Abadi,Kab. Grobogan,Provinsi Jawa Tengah,620063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.088219305964116,110.9101564089674
2010,12,PT Bank Perekonomian Rakyat Syariah Metro Madani,Kota Metro,Provinsi Lampung,620091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.109743260376518,105.31422432780674
2010,12,PT Bank Perekonomian Rakyat Syariah Al Washliyah,Kota Medan,Provinsi Sumatera Utara,620036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5953913881617754,98.67901076224275
2010,12,PT Bank Perekonomian Rakyat Syariah Arthaaceh Sejahtera,Kota Banda Aceh,Provinsi NAD,620192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.548455343437354,95.3146280603469
2010,12,PT Bank Perekonomian Rakyat Syariah Bangun Arta,Kab. Cilacap,Provinsi Jawa Tengah,620195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.720557123602994,109.02471707185968
2010,12,PT BPRS Artha Surya Barokah,Kota Semarang,Provinsi Jawa Tengah,620084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.992447596736079,110.42988872705932
2010,12,PT Bank Perekonomian Rakyat Syariah Dana Moneter,Kota Makassar,Provinsi Sulawesi Selatan,620030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.132293953516857,119.41407701618245
