Tahun,Bulan,Longitude,Latitude,Nama_BPR,Kabupaten_Kota,Provinsi,Kode_Bank,Total_Aset,Piutang_Murabahah,Piutang_Istishna,Piutang_Multijasa,Piutang_Qardh,Piutang_Sewa,Pembiayaan_Mudharabah,Pembiayaan_Musyarakah,Pembiayaan_Lainnya,Salam,Agunan_yang_Diambil_Alih,Tabungan_Wadiah,Tabungan_Mudharabah,Deposito_Mudharabah,Cadangan_Kerugian_Penurunan_Nilai_1,Cadangan_Kerugian_Penurunan_Nilai_2,Liabilitas_Segera,Liabilitas_kepada_BI,Liabilitas_kepada_Bank_Lain,Pembiayaan_Diterima,Liabilitas_Lainnya,Dana_Syirkah_Temporer,Pendapatan_setelah_distribusi_bagi_hasil,Pendapatan_dari_penyaluran_dana,Beban_Operasional,Zakat,Laba_Rugi_Bersih,KPMM,NPF_Neto,NPF_Gross,ROA,BOPO,FDR,Cash_Ratio,NI
2010,12,,,PT Bank Perekonomian Rakyat Syariah Situbondo,Kab. Situbondo,Provinsi Jawa Timur,620081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT. BPRS Gotong Royong,Kab. Subang,Provinsi Jawa Barat,620172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Fadhilah Kota Bengkulu (Perseroda),Kota Bengkulu,Provinsi Bengkulu,620184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Bobato Lestari,Kota Tidore Kepulauan,Provinsi Maluku Utara,620179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT BPRS Bumi Rinjani Probolinggo,Kab. Probolinggo,Provinsi Jawa Timur,620105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT. BPRS Mitra Harmoni Kota Semarang,Kota Semarang,Provinsi Jawa Tengah,620151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Daya Artha Mentari,Kab. Pasuruan,Provinsi Jawa Timur,620056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT. BPRS Jabal Tsur,Kab. Pasuruan,Provinsi Jawa Timur,620103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Muamalat Harkat,Kab. Seluma,Provinsi Bengkulu,620052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Amanah Ummah,Kab. Bogor,Provinsi Jawa Barat,620004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Hikmah Bahari,Kota Tegal,Provinsi Jawa Tengah,620174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Harta Insan Karimah Fajar Nitro,Kota Makassar,Provinsi Sulawesi Selatan,620168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Dana Amanah Surakarta,Kota Surakarta/Solo,Provinsi Jawa Tengah,620125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT. BPRS Ummu,Kab. Pasuruan,Provinsi Jawa Timur,620074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Rahma Syariah,Kab. Kediri,Provinsi Jawa Timur,620150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Tanmiya Artha,Kota Kediri,Provinsi Jawa Timur,620130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Investama Mega Bakti,Kota Makassar,Provinsi Sulawesi Selatan,620077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT BANK PEREKONOMIAN RAKYAT SYARIAH NIAGA MADANI,Kota Makassar,Provinsi Sulawesi Selatan,620039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah PNM Mentari,Kab. Garut,Provinsi Jawa Barat,620008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Maslahat Dana Syariah Nusantara,Kota Bengkulu,Provinsi Bengkulu,620181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Artha Pamenang,Kab. Kediri,Provinsi Jawa Timur,620147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT. BPRS Hareukat,Kab. Aceh Besar,Provinsi NAD,620003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Harum Hikmahnugraha,Kab. Garut,Provinsi Jawa Barat,620029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT BPRS Al Hidayah,Kab. Pasuruan,Provinsi Jawa Timur,620072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Dana Mulia,Kota Surakarta/Solo,Provinsi Jawa Tengah,620122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT. BPRS Muamalat Yotefa,Kab. Jayapura,Provinsi Papua,620067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Fajar Sejahtera Bali,Kab. Badung,Provinsi Bali,620026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Lantabur Tebuireng,Kab. Jombang,Provinsi Jawa Timur,620098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT BPRS Bogor Tegar Beriman,Kab. Bogor,Provinsi Jawa Barat,620177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Mitra Mentari Sejahtera,Kab. Ponorogo,Provinsi Jawa Timur,620180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Arsa Sejahtera,Kota Batu,Provinsi Jawa Timur,620079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Amanah Rabbaniah,Kab. Bandung,Provinsi Jawa Barat,620002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Bhakti Sumekar Perseroda,Kab. Sumenep,Provinsi Jawa Timur,620085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT BPRS Bina Finansia,Kota Semarang,Provinsi Jawa Tengah,620102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Almabrur Babadan,Kab. Ponorogo,Provinsi Jawa Timur,620073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT. BANK PEREKONOMIAN RAKYAT SYARIAH DINAR ASHRI,Kota Mataram,Provinsi Nusa Tenggara Barat,620104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT BPRS Bumi Rinjani,Kota Batu,Provinsi Jawa Timur,620109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Annisa Mukti,Kab. Sidoarjo,Provinsi Jawa Timur,620135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Almasoem,Kab. Bandung,Provinsi Jawa Barat,620027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Karya Mugi Sentosa,Kota Surabaya,Provinsi Jawa Timur,620113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT. BPRS Asri Madani Nusantara,Kab. Jember,Provinsi Jawa Timur,620033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Bahari Berkesan,Kota Ternate,Provinsi Maluku Utara,620164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Tunas Artha Jaya Abadi,Kab. Kediri,Provinsi Jawa Timur,620200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Kedung Arto,Kota Semarang,Provinsi Jawa Tengah,620191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT. BPRS Safir,Kota Bengkulu,Provinsi Bengkulu,620090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Botani Bina Rahmah,Kab. Bogor,Provinsi Jawa Barat,620061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Sarana Prima Mandiri,Kab. Pamekasan,Provinsi Jawa Timur,620127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Ampek Angkek Candung,Kab. Agam,Provinsi Sumatera Barat,620071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Sampang Perseroda,Kab. Sampang,Provinsi Jawa Timur,620166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Unisia Insan Indonesia,Kota Yogyakarta,Provinsi D.I. Yogyakarta,620178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Gala Mitra Abadi,Kab. Grobogan,Provinsi Jawa Tengah,620063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Metro Madani,Kota Metro,Provinsi Lampung,620091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Al Washliyah,Kota Medan,Provinsi Sumatera Utara,620036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Arthaaceh Sejahtera,Kota Banda Aceh,Provinsi NAD,620192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Bangun Arta,Kab. Cilacap,Provinsi Jawa Tengah,620195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT BPRS Artha Surya Barokah,Kota Semarang,Provinsi Jawa Tengah,620084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Dana Moneter,Kota Makassar,Provinsi Sulawesi Selatan,620030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Ingin Jaya,Kab. Aceh Besar,Provinsi NAD,620203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Baiturridha Pusaka,Kota Bandung,Provinsi Jawa Barat,620011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Daarul Hayat,Kota Cimahi,Provinsi Jawa Barat,620035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Indo Timur,Kota Makassar,Provinsi Sulawesi Selatan,620010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
