Tahun,Bulan,Longitude,Latitude,Nama_BPR,Kabupaten_Kota,Provinsi,Kode_Bank,Total_Aset,a. Kepada BPR,b. Kepada Bank Umum,c. Kepada non bank – pihak terkait,d. Kepada non bank – pihak tidak terkait,Cadangan_Kerugian_Penurunan_Nilai,Jumlah_Kredit,Tabungan,Deposito,Total_Liabilitas,Laba_tahun_berjalan,Total_Ekuitas,Agunan_yang_Diambil_Alih,Jumlah_Pendapatan_Bunga,Jumlah_Pendapatan_Operasional,Jumlah_Beban_Operasional,Laba_Rugi_Operasional,NPL_Gross,NPL_Neto,ROA,BOPO,NIM,LDR,KPMM,Cash_Ratio
2010,12,,,PT Bank Perekonomian Rakyat Supra Artapersada,Kab. Sukabumi,Provinsi Jawa Barat,601359,217735951.0,0.0,38201138.0,2007303.0,165458175.0,5220861.0,205666616.0,0.0,0.0,0.0,9863673.0,49863673.0,0.0,41635067.0,50939844.0,38181725.0,13151565.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Prisma Dana Gorontalo,Kota Gorontalo,Provinsi Gorontalo,602658,3025395.0,0.0,517082.0,0.0,1925550.0,9628.0,2442632.0,0.0,0.0,0.0,-302759.0,8447241.0,0.0,64743.0,80697.0,240786.0,-302759.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Semesta Megadana,Kab. Sukabumi,Provinsi Jawa Barat,602050,18981796.0,11145.0,2708905.0,188131.0,14923632.0,360602.0,17831813.0,0.0,0.0,0.0,1432172.0,4770634.0,0.0,5162392.0,5781082.0,4102427.0,1678655.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Halden Prime,Kab. Bandung,Provinsi Jawa Barat,601361,6792155.0,7024.0,1441512.0,92173.0,4868998.0,34851.0,6409707.0,0.0,0.0,0.0,222951.0,2449192.0,0.0,1465056.0,1821196.0,1518227.0,254951.0,,,,,,,,
2010,12,,,PT. BPR Telaga Sinarcahaya,Kota Gorontalo,Provinsi Gorontalo,601995,3953533.0,0.0,816610.0,25752.0,2645706.0,88427.0,3488068.0,0.0,0.0,0.0,187745.0,1683685.0,0.0,994383.0,1027207.0,800126.0,226831.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Paro Dana,Kab. Gorontalo,Provinsi Gorontalo,600841,9299005.0,0.0,1009831.0,23000.0,7466545.0,48586.0,8499376.0,0.0,0.0,0.0,871433.0,3871433.0,0.0,2640697.0,3625684.0,2720081.0,979202.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Kartika Matuari,Kota Tomohon,Provinsi Sulawesi Utara,601945,3071256.0,0.0,559285.0,58137.0,2414794.0,89660.0,3032216.0,0.0,0.0,0.0,274416.0,1774416.0,0.0,927686.0,993404.0,680299.0,313618.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Cianjur Jabar,Kab. Cianjur,Provinsi Jawa Barat,600453,17675675.0,54859.0,3841088.0,62360.0,13107473.0,331926.0,17065780.0,0.0,0.0,0.0,1052342.0,5112342.0,0.0,4018751.0,4272534.0,3162957.0,1202677.0,,,,,,,,
2010,12,,,PT. BPR Maesa Waya,Kota Tomohon,Provinsi Sulawesi Utara,601140,1434752.0,0.0,104943.0,44765.0,1159377.0,110339.0,1309085.0,0.0,0.0,0.0,-8725.0,3301975.0,0.0,417436.0,472495.0,484316.0,-8725.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Bumi Pendawa Raharja,Kab. Cianjur,Provinsi Jawa Barat,601328,773047.0,868.0,86323.0,0.0,573735.0,55622.0,660926.0,0.0,0.0,0.0,-281842.0,1368100.0,0.0,118555.0,149120.0,430962.0,-281842.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Arta Gandhita,Kab. Cianjur,Provinsi Jawa Barat,601332,13551462.0,0.0,3033302.0,0.0,9679752.0,287359.0,12713054.0,0.0,0.0,0.0,361869.0,935964.0,0.0,2443923.0,2568591.0,2067279.0,413873.0,,,,,,,,
2010,12,,,PT. BPR Artha Puspa Mulia,Kota Tomohon,Provinsi Sulawesi Utara,601139,1737359.0,0.0,84489.0,30683.0,1290787.0,104393.0,1405959.0,0.0,0.0,0.0,67229.0,1271258.0,0.0,520411.0,683210.0,606155.0,76545.0,,,,,,,,
